seed,stimulus,P026,P088,P4026A,P902,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
2039863733,JMP,3,4,5,2,5,4,5,6,7,6,5,6,5,6,3,6,6,5,4,6,7,5,4,5,4,1,4,2,3,1,4,3
1945733875,JMP,3,5,4,2,5,4,6,6,6,7,5,5,5,6,6,5,5,5,4,6,3,3,3,2,2,3,4,1,4,3,4,2
1002741528,JMP,6,7,6,2,6,7,7,6,7,7,6,5,6,7,7,6,7,6,5,7,6,6,5,1,4,1,5,1,4,1,4,1
2064775461,JMP,5,3,5,2,7,7,7,7,7,7,7,5,6,7,5,6,7,5,4,6,4,3,1,2,4,4,4,2,4,3,2,4
509094822,JMP,5,5,5,2,4,6,6,6,7,7,7,5,5,7,6,5,6,5,4,5,5,5,4,2,4,1,4,2,3,3,3,2
2123505160,JMP,3,5,3,2,4,4,6,5,7,6,6,5,4,7,6,4,5,5,5,4,3,3,3,2,3,2,4,2,3,2,3,2
531938604,JMP,7,7,6,2,7,6,7,5,7,6,7,7,7,6,6,6,7,7,7,7,6,5,5,1,2,1,5,2,4,3,2,2
1754629784,JMP,7,7,6,2,7,6,6,6,6,7,6,6,6,6,6,7,7,7,6,6,5,5,4,1,5,1,4,1,4,1,4,1
1951200653,JMP,7,7,7,2,7,7,7,7,7,7,7,7,7,7,6,6,7,6,5,5,6,6,5,1,5,2,4,1,4,2,5,4
1027312250,JMP,6,5,6,2,5,7,6,4,6,6,6,5,4,7,5,5,6,7,4,6,5,5,3,2,4,3,4,2,4,3,3,4
2002307349,JMP,5,5,6,2,5,5,5,5,6,6,6,5,6,6,6,4,6,5,5,5,6,6,4,3,3,3,4,3,2,3,3,4
1065024941,JMP,6,6,5,2,5,5,5,5,6,6,5,5,6,6,6,5,5,4,6,5,4,5,4,3,3,3,3,3,4,3,4,3
1041499611,JMP,7,6,6,2,7,7,7,7,7,7,6,7,7,6,7,6,6,5,5,6,5,5,4,3,3,3,3,4,4,3,4,4
823816863,JMP,6,7,6,2,7,5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,4,5,2,4,1,3,3,5,1
760534085,JMP,6,6,6,2,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,1,5,1,5,1,5,1,5,2
